"","text"
"119","бурение спуск стальной бурильный труба работник находиться внутрискважинный перекачка опасный зона"
"120","бурение сборка кнбк поднять труба мосток находиться работник"
"121","безопасно"
"122","кабельный продукция установка электроцентробежный насос лежать земля"
"123","вср помощник бурильщик бригада обьнефтеремонт глушение скважина находиться вблизи нагнетательный линия ца находиться давление"
"124","вср монтаж опорный плита подъёмный агрегат один проушина плита сломать монтаж производиться кран"
"125","положение обнаружить провис кабель агз де"
"126","вср помощник бурильщик передвигаться кокс пековый вагонсушилка вагонстоловый сизый каска"
"127","вср куст работник подрядный организация находиться каска защитный очко"
"128","осмотр узел обнаржила манометр замёрзнуть"
"129","бурение сотрудник идс курить курилка"
"130","транспорт водитель автомобиль мтк трогание место кустовой площадка продолжить разговор телефон движение"
"131","бурение извлечение рад датчик кнбк инженер сервисный организация вывесить табличка опасность радиация"
"132","псква куст передвижение территория работник поскользнуться упасть снег последствие"
"133","гореть один лампочка"
"134","масиер блок распределение карс ходить кокс пековый спецобувь"
"135","открыть де полный де"
"136","вср жилой вагон оем сгореть лампа освещение санузел выбить автомат"
"137","забуривание боковой ствол кустовой площадка"
"138","куст б солянокислотный ванный заморозить обратный клапан"
"139","розлив химия блок реагентный хозяйство назначение изделие закачка реагент ингибить"
"140","добыча пропуск хим реагент линия подача хим реагент установка дозирование реагент мочь также называться убпр устройство ус точка ввод"
"141","работник прр стоять стрела автокран"
"142","маш зал нво иметься промаслить ветошь"
"143","безопасно"
"144","солеотложение нпв"
"145","водитель сторонний организация начать движение ама подача звуковой сигнал начало движение"
"146","обнаружить ослабление резьбовой соединение хомут соединять выкидной линия свая нпвнасос резерв"
"147","газовый сепаратор сработать датчик уровень конденсат"
"148","порпуск кабельный ввод"
"149","бурение подъём инструмент обнаружить пропуск масло ключ автоматический ключ бурильщик"
"150","скважина хватать шпилька затрубный задвижка"
"151","очистный устройство солянокислотный ванный р кабель отсутствовать знак высокий напряжение"
"152","транспорт обход кокс пековый обнаружить нахождение дорога обрезок труба предположительно выпасть кузов автомобиль"
"153","получить задание мастер очистка снег наледь посыпать песок участок перемещение персонал"
"154","вср обход кокс пековый обнаружить вагондом мастер капитальный ремонт скважина ремонт после обрыв внутрискважинный оборудый наледь кл бытовой стоковый"
"155","бурение вагон городок заметный снег пурга"
"156","кокс пековый заметить водитель паровой промысловый установка паровой передвижной установка передвижной п работать сизый"
"157","крыша хала свисать ледяной глыба"
"158","потечь резьба манометр жидлиния агз"
"159","безопасный производство геофизический работа"
"160","оторвать крепление перила площадка уровнемер бе"
"161","бурение прокладка кабель жёлоб снег"
"162","проход пщ"
"163","рпв замарожена патрубок попутный газ"
"164","бурение работник подниматься лестница держаться два рука перила"
"165","перемещение материал кранбалка произойти разрыв натяжной металлический трос кранбалка удерживать электрический кабель кранбалка кабель повреждение получить кранбалка обесточить ущерб причинить пострадать"
"166","территория вжк обнаружить открытый пожарный щит"
"167","металлический конструкция задействоваться куст"
"168","безопасно"
"169","лёд вход динамический напряжение сдвиг"
"170","вход агз обнаружить скользкий поверхность"
"171","манометр агз срок поверка закончить квартал"
"172","технический обслуживание и ремонт агз срок поверка закончить квартал"
"173","закрепить штурвал фонтанный арматура"
"174","бурение циркуляционный система гидроциклонный очистка буровой раствор открыть люк ёмкость блок распределение"
"175","захламить приёмный мосток"
"176","скважина заморозить"
"177","вср нахождение кокс пековый солянокислотный ванный бригада сибирский сервисный компания зао подробный о компания обнаружить электрический кабель уложить стойка"
"178","настил ростверк выполнить штанга ходьба зимний настил устойчивый скользкий"
"179","неисправный визуальный уровнемер бе"
"180","пропарить длиния нво убрать замазученность"
"181","поездка ама сидячий пассажир пристегнуть ремень безопасность"
"182","блок измерительный линия просрочить огнетушитель"
"183","вср производство работа использоваться страховочный пояс"
"184","энергетика образование наледь вход помещение очистка вода"
"185","замазученность клапан кркр"
"186","бурение территория цем завод заснежить"
"187","поза упг кабель источник временной питание частично уложить снег"
"188","прб обледенение ступенька"
"189","работник компания шлюмберже подрядный организация заказчик использовать сертифицированный обувь"
"190","прочее лопнуть рукоятка кувалда"
"191","отсутствие обвалование дренажный ёмкость"
"192","бурение работник производить уборка инструмент включить буровой насос опасный зона"
"193","бурение стропальщик прр использовать верёвка"
"194","подьема приставной лестница страховать отвлекаться рабочий момент"
"195","бурение открыть люк доливной ёмкость"
"196","подьема лестница сотрудник держаться поручень"
"197","кап строительство строительный площадка монтажник находиться защитный очко"
"198","наледь козырёк"
"199","обнаружить замазученность район установка дозирование реагент мочь также называться убпр устройство ус"
"200","установка лестницыплощадка подготовить"
"201","прочее начало работа рмм обнаружить тряпичный строп начать расслаиваться"
"202","подтечь фланцевый соединение"
"203","транспорт водитель рст двигаться стоянка производственный зона прохождение предрейсовый медосмотр защитный каска"
"204","бурение возле пункт набор питьевой вода наледь"
"205","бурение загромоздить проход длинный мосток буровой металлический лента колпачок штроп"
"206","очистка снег козырёк вагон дом применяться очки защита"
"207","бурение работа капитальный ремонт скважина ремонт после обрыв внутрискважинный оборудый остаться пропарить ям"
"208","бурение парилка сауна перегореть лампочка"
"209","бурение возле отбойный щит намести снег"
"210","бурение электрокабель подключение вагон лаборатория лежать земля"
"211","бурение компрессор замести снег"
"212","бурение зашплинтовать перильный ограждение лестница подъём нку"
"213","бурение отсутствовать памятка телефон руководитель пб охрана окружающий среда бу слесарный мастерская"
"214","транспорт водитель аца начало налив установить откат"
"215","безопасно"
"216","безопасный производство геофизический работа"
"217","сотрудник находиться сизперчатка месторождение"
"218","куст агз позиция замазученность пол"
"219","исследовательский площадка замести снег"
"220","бурение наледь роторный площадка"
"221","бурение курилка замести снег многие сотрудник бросать окурок снег"
"222","бурение сотрудник проходить кокс пековый галоша"
"223","скважина отсутствовать предупредительный знак осторожно высокий напряжение"
"224","работа проводиться соответствие требование пб"
"225","бурение стропальщик отсутствовать сигнальный жилет"
"226","бурение работник кокс пековый выйти топливо синтетический каска"
"227","отсутствовать защитный крышка смотровой окно соединение полумуфта дренажнойемкость"
"228","сломать ручка выдвежный ящик рабочий стол"
"229","добыча аппаратура боковой каротаж арочник обледенеть"
"230","добыча частично разрушить пандус въезд куст"
"231","недостаточный освещение газоносный область подъемаперегореть лб"
"232","наледь ступенька ме"
"233","занести снег подход буон"
"234","краснодарский филиал допускаться слив жбо рельеф"
"235","разбросать бытовой мусор контенер мусорный блок распределение"
"236","работник применять средство индивидуальный защита зимний перчатка выполнение работа"
"237","замазученность н н"
"238","некорректный показание температура линия выход динамический напряжение сдвиг установка предварительный сброс вод цех подготовка и перекачка нефть"
"239","складирование нкт стелажа ячейка превышать высота метр"
"240","забиться дренаж нво"
"241","пропуск нефть газ заглушка буферный задвижка"
"242","пропуск нефть газ около"
"243","исправно освещение мсс коридор кухня"
"244","засыпать снег стационарный газоанализатор н"
"245","бурение обледенение площадка вход бде блок дополнительный ёмкость"
"246","лёд вход динамический напряжение сдвиг"
"247","наледь площадка насос буров уун"
"248","заменить инструкция п"
"249","моечный комната исправный лампа"
"250","бг бг манометр истекший срок поверка"
"251","обнаружить течь масло рабочий сторона насосный агрегат машзал"
"252","лёд рабочий мосток"
"253","бурение столовая огнетушитель отсутствовать предохранительный чек"
"254","бурение процесс подъём яс роторный площадка работник находиться опасный зона"
"255","обледенение технологический площадка"
"256","жить городок оем эстакада свисать кабель"
"257","прочее установка заземление сварочный агрегат денио обнаружить отломить болт прикрутить корпус"
"258","обход обнаружить подтечь сальниковый уплотнение задвижка приёмный линия"
"259","безопасный производство геофизический работа"
"260","проход"
"261","водитель легковой автомобиль движение задний ход площадка аппаратура боковой каротаж установка комплексный подготовка газ очистка осушка извлечение нестабить подать звуковой сигнал"
"262","монтаж труба установить опора"
"263","работа ца сотрудник сторонний организация находиться возле линия нагнетание"
"264","бурение лопата лежать проход"
"265","бурение циркуляционный система гидроциклонный очистка буровой раствор оставить открытый смотровой люк"
