"","text"
"4838","проверка кокс пековый обнажудить обогреватель повредить кабельный линия"
"4839","слесарный инструмент скол выбоина"
"4840","почистить проход бма площадка комплектный трансформаторный подстанция наружный установка применяться ич открыть технологический отверстие пол присыпать снег"
"4841","вср кабель подключение оборудование бригада капитальный ремонт скважина ремонт после обрыв внутрискважинный оборудый лежать земля"
"4842","заметить утечка шланг пропан"
"4843","водитель автомобиль ниссан террано госномер вме совершить неоднократный опасный вождение заходить поворот непосредственно аппаратура боковой каротаж ручник превышать допустимый скорость движение"
"4844","пропуск фланцевый соединение центральный задвижка солянокислотный ванный"
"4845","база цех добыча нефть и газ промысел в рамка нгда динамический напряжение сдвиг суторминский мтр храниться земля"
"4846","технологический площадка днс лестничный марш абжк иметься наледь"
"4847","прочее электрический кабель лежать земля снег уложить опора"
"4848","прочее транспортный средство находиться автостоянка высталвенный противооткат"
"4849","кап строительство производство огнев работа поза нарушить целостность силовой кабель сварочный аппарат"
"4850","доступ газоанализатор площадка р"
"4851","бурение влб возле лебёдка иметься розлив масло"
"4852","бурение сотрудник подниматься лестница соблюдать правило три точка опора"
"4853","работник выполнять работа высота кувалда ударный ключ крепление фланцевый соединение задвижка промахнуться нанести удар сапог последствие"
"4854","безопасный производство геофизический работа"
"4855","бг работать вентилятор"
"4856","сотрудник проведение работа убрать лоток нефтесодержащий жидкость"
"4857","сотрудник передвигаться территория хлястик каска"
"4858","кап строительство вход пункт обогрев территория строительный площадка присутствовать наледь неровный скользкий поверхность"
"4859","течь задвижка котельная"
"4860","кустовой площадка замести снег"
"4861","автодорога центральный склад возле ку ограничитель высота проварить основание"
"4862","ед перемести снег отсутствовать возможность проход контроль уровень жидкость ёмкость"
"4863","добыча обнаружить утечка хим реагент точка ввод установка дозирование реагент мочь также называться убпр устройство ус"
"4864","бурение обнаружить обледенение лестница"
"4865","бурение работник проводить работа неисправный гзп"
"4866","бурение пропарочный рукав выйти строй"
"4867","бурение отбор вода приёмный ям шлам работник подходить край"
"4868","бурение бде запускаться горизонтальный шламовый насос"
"4869","бурение возле станция очистка вода образоваться наледь"
"4870","транспорт неисправность ходовой часть"
"4871","безопасно"
"4872","скользкий поверхность дорожный покрытие"
"4873","энергетика освещение агз"
"4874","скользкий мосток"
"4875","пропуск жидкость сегмент му тор ррж"
"4876","безопасно"
"4877","органический вещество лежать метталол"
"4878","оторваться перила лестничный подъём"
"4879","вср обнаружить утечка метанол шток дозировать насос"
"4880","вср обнаружить утечка метанол шток дозировать насос"
"4881","освещение кустовой площадка п мачта освещение"
"4882","кустовой площадка агз освещение"
"4883","объезд кокс пековый выявить мусор бригада ткрс замозученность"
"4884","возле п лежать ящик ветошь ножка"
"4885","выходить срок поверка манометр сосуд"
"4886","замазученность станина нвонво"
"4887","безопасно"
"4888","бурение сотрудник передвигаться лестница держаться перила"
"4889","вср обнаружить утечка метанол шток дозировать насос"
"4890","вср обнаружить утечка метанол шток дозировать насос"
"4891","вср обнаружить утечка метанол шток дозировать насос"
"4892","вср обрыв кабель датчик телеметрия"
"4893","бурение обнаружить бде освещение"
"4894","бурение вход циркуляционный система гидроциклонный очистка буровой раствор обледенение"
"4895","бурение захламлённость переход блок ёмкость"
"4896","бурение сломать ограждение"
"4897","безопасный производство геофизический работа"
"4898","скважина капитальный ремонт скважина ремонт после обрыв внутрискважинный оборудый оператор паровой промысловый установка паровой передвижной установка передвижной п транссервис находиться устье скважина защитный очко"
"4899","вср блок распределение фрс сибирский сервисный компания зао подробный о компания забить якорь оттяжка мачта агрегат ап опасный зона смотреть подземный коллектор скважина"
"4900","вышка связист оборвать стяжка опора"
"4901","обнаружить открытый электра щит"
"4902","бурение приёмный мосток отсутствовать противооткатный стойка"
"4903","бурение наращивание бурильный труба подствечник обнаружить заморозить раствор труба"
"4904","обнаружить грязный ветошь санитарный зона"
"4905","ревизия ууг кокс сернистый оцинковать лист изоляция оторвать"
"4906","гореть лампа освещение бкн"
"4907","замести проход склад площадка обслуживание аппаратура боковой каротаж"
"4908","скважина треснуть жить погрузочный кабель"
"4909","бурение работа химия использование несоответствующий перчатка"
"4910","бурение работник заправлять автомобиль заземление"
"4911","энергетика исправный освещение склад хранение пенобразователь"
"4912","бурение обход контроль элоборудование обнаружить нагрев розетка вагон сушилка"
"4913","работник находиться вблизи движение каротажный кабель"
"4914","энергетика работать взв"
"4915","требоваться убрать мусор сварочный участок"
"4916","кап строительство подъём маршевый лестница вагонздание работник держаться рука поручень правило три точка"
"4917","возле скважина лежать демонтировать кабельный эстакада частично занести снег"
"4918","бурение сотрудник подрядный организация пройти опасный зона разборка кнбк"
"4919","бурение разборка линия работник подрядный организация работать кувалда использовать сизочки"
"4920","вср прр движение груз персонал бригада испоьзовать багор фал др вспомогательный устройство"
"4921","бурение чистка шнековый конвейер кнопка запуск электродвигатель вывесить табличка включать работать"
"4922","пропуск фланцевый соединение солянокислотный ванный"
"4923","износ щётка щёточный механизм сд"
"4924","р агз просрочить огнетушитель"
"4925","бурение приготовление буровой раствор работник использовать защитный очки"
"4926","бурение разборка кнбк заметить использовать ручной клин иметь рабочий палец страховка"
"4927","пропуск масло резьбовой соединение"
"4928","замазученность машинный зал"
"4929","кокс пековый заезд кокс пековый перемёт"
"4930","водитель хотеть движение задний ход сигнал сигнальщик"
"4931","скользкий участок дорога возле вагон"
"4932","машинист паровой промысловый установка паровой передвижной установка передвижной п ооотранссервис находиться устье скважина защитный очко"
"4933","прр поднять стрела кран груз проходить стропальщик задействовать работа"
"4934","пропуск ингибитор резьбовой соединение насос нд блок распределение"
"4935","почистить подход резервуар вертикальный стальный пп техплощ"
"4936","наледь приёмный мосток"
"4937","безопасный производство геофизический работа подъём инструмент разборка кнбк"
"4938","течь задвижка котельная"
"4939","вср приёмный мосток захломить лишний использовать оборудование"
"4940","солянокислотный ванный исправный вентель выс давление полевой затруба пропуск шток"
"4941","вср спо использоваться исправный манометр затрпростр"
"4942","вср ключ находиться замок элщитасвободный доступ"
"4943","вср каблиния инструменталка бд перегараживать кокс пековый уложить патрон"
"4944","продувка воздух щитовой панель вибросито помощник бурильщик использовать сизый очки защитный"
"4945","отсутствовать подход прибор кипиа"
"4946","скважина персонал оооновое технология находиться устье скважина одетый подбородочный ремешок"
"4947","бурение наледь площадка обслуживание маршевый лестница подъём вагон столовая"
"4948","бурение водитель сторонний организация установить противооткатный упор постановка автомобиль стоянка"
"4949","бурение изз пара блок циркуляционный система гидроциклонный очистка буровой раствор плохой видимость"
"4950","работник подрядный организация работать паровой промысловый установка паровой передвижной установка передвижной п соответствие сизый"
"4951","отсутствие штурвал вентиль система отопление ууг"
"4952","освещение агз"
"4953","агз позиция замести лестница площадка"
"4954","агз позиция б замести лестница площадка"
"4955","амбар огородить обозначить"
"4956","пропуск фланцевый соединение"
"4957","куст пропуск обратный клапан вход агз солянокислотный ванный"
"4958","р агз манометр просрочить дата тарировка"
"4959","вср замазученность территория возле приёмный мосток"
"4960","обнаружить пропуск газ резьбовой соединение заглушка затрубный задвижка"
"4961","перекрыть запасный выезд кустовой площадка связь погодный условие"
"4962","замазученность насосный блок"
"4963","бг отсутствовать освещение"
"4964","газовый балон храниться лёжа земля"
"4965","транспорт езда задний ход вахтовка работать сигнал задний ход"
"4966","образование наледь площадка обслуживание авс"
"4967","засыпать снег подход агз"
"4968","агз позиция б неисправный манометр"
"4969","вср рабочий зона окислить нефть загромоздить использовать работа оборудование"
"4970","оторвать заземление клемной коробка"
"4971","кабель электропитание лежать земля"
"4972","росверг кокс пековый отсутствовать нижний отбортовка ограждение"
"4973","бурение работа сварщик отсоединить редуктор баллон"
"4974","куст лестница подход агз бг засыпать снег"
"4975","район работать дорожный служба выполнять отсыпка дорогиводитель грузовик сдавать задний ход подать звуковой сигнал"
"4976","исправный манометр"
"4977","слесарить кипиа держаться поручень"
"4978","разлить масло проведение ремонтный работа насосный блок пол"
"4979","агр му мнасос требоваться замена резиновый прокладка пропуск"
"4980","зкл н н подача пресный вода органический вещество нарушить теплоизоляция"
"4981","вср питать кабель вагонаинструментовка лежать земля отсутствовать предупреждать знак электробезопасность"
"4982","работник передвигаться территория защитный каска"
"4983","обнаружить трещина лабораторный пробирка"
"4984","бурение баня протекать смеситель"
"4985","безопасно"
"4986","бурение въезд кокс пековый скользко"
"4987","водитель движение включить габаритный огонь ближний"
"4988","пропуск кабельный ввод солянокислотный ванный"
"4989","бурение отсутствовать предупреждать знак стоить напряжение вход площадка комплекс расчётный направить бурение"
"4990","добыча стропольщик отсутствовать сизый защита"
"4991","погружение свая место проведение опасный работа отсутствовать сигнальщик"
"4992","бурение автомобиль стоять мосток подъём труба жёлоб"
"4993","работник подскользнуться"
"4994","хранение газовый баллон защитный колпаков"
"4995","оторвать провод заземление кабельный ввод стд"
"4996","бурение стропальщик прр использовать страховочный верёвка"
"4997","слив автоцистерна пропуск резьбовой соединение"
"4998","бурение лестница подъём противовыбросовый оборудование обледенение"
"4999","бурение ёмкость водовоз обледенеть лестница"
"5000","бурение подъём оборудование ротор установить страховочный цепь"
"5001","обнаружить грязный ветошь санитарный зона"
"5002","утечка сальник сн"
"5003","бурение обработка раствор использоваться хим реагент мешкотар иметь повреждение транспортировочный лямка"
"5004","водитель ама транссервис проводить осмотр топливо синтетический установленный противооткат передний часть"
"5005","бурение загромождение проход роторный площадка сторона лестничный марш"
"5006","бурение ёмкостный блок оставить закрытый ёмкость оградить сигнальный лента"
"5007","бурение работник погрузочный работа использовать жилетка"
"5008","бурение разгрузка химреагент работник стоять опасный зона"
"5009","водитель управлять топливо синтетический включить ходовой огонь"
"5010","бурение погрузка труба кран отказать главное освещение перекачивать станция"
"5011","кап строительство персонал применять защитный каска"
"5012","бурение обледенение горловина водяной ёмкость"
"5013","бурение снег торчать кусок трос"
"5014","вз неисправный ввд линия"
"5015","скважина капитальный ремонт скважина ремонт после обрыв внутрискважинный оборудый силовой кабель питать инструментовка лежать земля"
"5016","площадка смотровой крановый отсутствовать освещение"
"5017","кокс пековый осмотр кокс пековый оборудование обнаружить заизолированный кабель"
"5018","бурение цистерна автомобиль перевозить вода литься кран дорога"
"5019","прочее подключение трансформатор масляный повышать напряжение электромонтёр оставить дверца токоведущий часть открытый"
"5020","прочее розлив жидкость глушение"
"5021","затруднить проезд изз снежный покров"
"5022","помбур пройти двигаться кабель оградить сигнальный лента"
"5023","безопасный производство геофизический работа"
"5024","бурение проведение прр сигнальный жилет опасный близость зона возможный падение"
"5025","вср отсутствовать запись журнал отбор проба газовоздушный среда течение час"
"5026","вср вагонесушилка замок элщит находиться ключ свободный доступ"
"5027","отсутствовать освещение агз"
"5028","обнаружить открытый электра щит"
"5029","наледь вход блок подготовка топливный газ"
"5030","обход обнаружить пропуск газ резьбовой соединение"
"5031","бурение работник применение пояс верховой провести осмотр"
"5032","машиназаправщик стоять противооткатный упор"
"5033","монтаж трубопровод помещение ихала работник находиться лестница выронить рожковый ключ ударить рука работник держать лестница"
"5034","пожарный сигнализация постоянно режим оповещение"
"5035","куст снять скважина лубрикатор уголок"
"5036","замести проход склад площадка обслуживание место хранение баллон"
"5037","проверка электрогазосварочный оборудование обнаружить сгореть мундштук"
"5038","убрсп отсутствовать огнетушитель второй огнетушитель оп просрочить дата проверка"
"5039","обледенеть лестница подъём сепаратор концевой сепарационный установка"
"5040","скользкий поверхность путь передвижение персонал"
"5041","транспорт автокран оградительный лента"
"5042","проезжий часть обнаружить посторонний металлический предмет"
"5043","бурение перегореть лампочка тамбур"
"5044","вср отсутствовать запись журнал отбор проба газовоздушный среда течение час"
"5045","технологический площадка днс стоянка дежурный автотранспорт осмотр дежурный автотранспорт выезд выявить неработающий задний фонарь габаритный огонь"
"5046","прочее пожарный щит занести снег огнетушитель оп огнетушитель оп вмёрзнуть грунт"
"5047","пропуск масло фланцевый соединение"
"5048","вышка связист оборвать стяжка опора"
"5049","маслоподтечь пол машзал"
"5050","бурение вход буровая валяться упаковочный лента"
"5051","утечка сальник сн"
"5052","разбитый стекло манометр установить пропан"
"5053","подход скважина"
"5054","начало движение ама соболь пассажир сшить полимерный система задний сидение пристегнуть ремень безопасность замок недопустимый место"
"5055","прочее обледенение стенка резервуар вертикальный стальный"
"5056","скважина пропуск обратный клапан"
"5057","возле вход рмм лежать заготовка мешать транспорт проезд"
"5058","занести снег подход лс пщ переливной клапан"
"5059","продуктовый машина водитель двигаться пристегнуть ремень безопасность"
"5060","работник подрядный организация курить положить место"
"5061","занести снег площадка система измерение количество и показатель качество нефть"
"5062","отсутствовать заглушка смещение вал"
"5063","плохо закрепить перила лестничный подъём вагон"
"5064","скважина обнаружить исправный линейный задвижка требоваться замена"
"5065","снег наледь лестница мсс"
"5066","р лестница сепаратор сугроб"
"5067","куст солянокислотный ванный пропуск газ вентиль установленный фланец буферный задвижка"
"5068","бурение пкр отсутствовать строп"
"5069","бурение наледь пол переход блок насос буров блок приготовление раствор"
"5070","технологический площадка динамический напряжение сдвиг помещение хранение газовый оборудование неисправный запирать устройство"
"5071","проезжий астить обнаружить посторонний предмет"
"5072","бурение контур заземление оторваться"
"5073","кокс пековый агз освещение"
"5074","забитый дренаж утечка сальник нво замазучёность"
"5075","устранить солеотложение нпв"
"5076","кустовой площадка б ктпнква иметься след порыв ппд"
"5077","технологический площадка динамический напряжение сдвиг вход комплектный трансформаторный подстанция наружный установка применяться ич кв завалить снег"
"5078","бурение работник сторонний организация находиться опасный зона поднять груз"
"5079","бурение работник сторонний организация безопасно покидать стеллаж приёмный мосток маршевый лестница спрыгнуть риск травмирование"
"5080","бурение стоянка спец техника жилой городок вахтовка стоять противооткатный упор"
"5081","бурение оборвать заземление перемешиватель ёмкостный блок"
"5082","добыча проглушко ответный флянец дренажный ёмкость"
"5083","бурение разборка внутрискважинный перекачка возможность снять нижний"
"5084","бурение работа легостья согласование бурильщик работник полезть рука опасный зона"
"5085","бурение сотрудник подрядный организация находиться опасный зона прр стрела кран"
"5086","вср бурилбщик начало работа оценить риск спо"
"5087","вср анаматыватель деформировать элщит"
"5088","энергетика работать отопление агз"
"5089","безопасно"
"5090","безопасно"
"5091","безопасно"
"5092","наледь рабочий площадка"
"5093","возле входной ворота территория цтоирт чистить снег торчать арматура"
"5094","утечка газ х ходовой кран манометр ууг вгкс"
"5095","производство работа сварка металлоконструкция производитель работа снять ограждение место производство работа приступить заправка топливо остановить производство работа заправка автомобиль происходить опасный зона одновременно работа шлифмашинка"
"5096","кап строительство проверка бытовой помещение выявить сушка перчатка электрообогреватель"
"5097","бурение опрессовка противовыбросовый оборудование пом бурильщик находиться опасный зона"
"5098","бурение подвод свеча ротор использоваться отводный крючок"
"5099","бурение работа автокран работа оградить сигнальный лента"
"5100","бурение работник спускаться роторный площадка лестница держаться перила"
"5101","утечка вода счётчик вода ультразвуков"
"5102","бурение сборка кнбк сотрудник находиться опасный зона действие механический ключ"
"5103","бурение кран выставить напротив приёмный жёлоб выброс кнбк приёмный мосток"
"5104","бурение отворот переводник производиться ослабить тормоз буровой лебёдка"
"5105","бурение замена масляный фильтр внутрискважинный перекачка работник пытаться подняться лестница страховочный пояс"
"5106","пропуск крышка переключатель скважина многоходовый"
"5107","агз скважина пропуск сальник задвижка"
"5108","затруднить проезд кустовой площадка"
"5109","движение дорога зимний жагрин обнаружить упавший ветка препядствовать движение транспорт"
"5110","бг отсутствовать освещение"
"5111","водитель аплощадка прр покинуть кабина"
"5112","освещение кустовой площадка кокс пековый мачта освещение"
"5113","отсутствовать защитный кожух шток зкл"
"5114","кнопка включение освещение отсутствовать бирка"
"5115","кабель установка электроцентробежный насос пролегать земля"
"5116","бурение работа паром работник находиться опасный зона"
"5117","бурение проведение огнев работа выставить ограждение средство пожаротушение"
"5118","бурение представитель сторонний организация находиться буровой очко подбородочный ремешок"
"5119","кокс пековый допускаться складирование строительный материал площадка ростверк су мешать движение"
"5120","проверка кустовой площадка обнаружить пропуск фланцевый соединение задвижка затруба атмосфера"
"5121","герметичный ввод кл клеммный коробка насос нпв"
"5122","бурение расчистка крыша работник находиться страховка"
"5123","бурение работник сторонний организация производить прр сигнальный жилет"
"5124","бурение работник подниматься лестница страховка"
"5125","нд блок реагентный хозяйство назначение изделие закачка реагент ингибить развивать давление подтечь химреагент"
"5126","крыша бытовой помещение образоваться ледяной свес представлять опасность падение"
"5127","насосный станция на нефтепровод и продуктопровод дозировать установка дозировать устройство возле ку неподвижный опора находиться непроэктный состояние"
"5128","затруднить проезд куст снег замести"
"5129","эвакуационный выход поверочный лаборатория отсутствовать защитный козырёк дверь уличный сторона"
"5130","выход автомобиль вахтовка работник пройти сзади автомобиль"
"5131","добыча наледь возле нпв"
"5132","бурение провис кабель возле вагон опасность зацепление обрыв кабель"
"5133","опасный нависание снег крыша бг"
"5134","бурение прр заметить повредить текстильный строп"
"5135","водитель сторонний организация автоплащадка погрузка оборудование находиться кабина"
"5136","бурение выход вахтовка работник использовать точка опора"
"5137","бурение паук защёлка"
"5138","бурение работник работать автоматический ключ бурильщик опасный метод"
"5139","бурение ремонт насос работник находиться опасный зона работать кувалда"
"5140","чистка спец техника снег образоваться скользкий поверхность"
"5141","пропуск прокладка шк скважина"
"5142","работник сторонний организация разговаривать телефон возле скважина"
"5143","работник буровой бригада замерять уровень вода член бригада вероятность поскользнуться"
"5144","бурение геофизический работа работник сторонний организация браться рука движущий кабель лебёдка"
"5145","бурение упасть перила лестничный марш жилой вагон"
"5146","бурение приготовление буровой раствор работник использовать защитный очки"
"5147","сосулька крыша машзал"
"5148","скважина пропуск обратный клапан"
"5149","скважина пропуск штуцерный камера"
"5150","нарушить целостность гофр температурный датчик"
"5151","слесарный мастерская огнетушитель лежать незакреплённый стакан"
"5152","освещение кустовой площадка кокс пековый мачта освещение"
"5153","обледенение лестница вагондом офис"
"5154","наледь лестничный марш"
"5155","крыша блочный кустовой насосный станция свисать наледь вероятность падение травмирование"
"5156","бнсп работать отопление"
"5157","узел подъезд спецтехник"
"5158","пусковой камера уза заморозить обводный линия"
"5159","работник производить работа нанесение акз повредить сизый орган дыхание"
"5160","вср глушение скважина пб находиться опасный зона"
"5161","отсутствовать информационный табличка сепаратор"
"5162","бурение скважина свая ктп ограждение установка сторона отсутствовать"
"5163","ростверг иметься технологический отверстие демонтаж су"
"5164","вср нахождение работник опасный зона работа высокий давление"
"5165","перемещение оборудование помещение хала сотрудник газартстрой производить каска"
"5166","разработка грунт монтаж оборудование оградить работа момент проверка проводиться"
"5167","кокс пековый сломать перильный ограждение"
"5168","затруднить проезд кустовой площадка"
"5169","кабель установка электроцентробежный насос пролегать земля"
"5170","вср разрыв прядь строп силовой оттяжка"
"5171","бурение стропальщик использовать очки производство работа"
"5172","куст замести подход агз бг"
"5173","пропуск жидкость фланцевый соединение дренажный линия"
"5174","утилизировать пустой бочка хим реагент навести порядок"
"5175","мачта освещение отсутствовать прожектор"
"5176","добыча работник каскад стравливание лубрикаторный трубка допустить загрязнение фонтанный арматура"
"5177","пропуск фланец"
"5178","бурение замести снег вход блок блок приготовление раствор"
"5179","бурение наледь лестничный площадка лестница жилой вагон"
"5180","бурение перемещение кустовой площадка машинист мбу оценивать риск возможность падение"
"5181","бурение ппр разгрузка хим реагент подача блок приготовление раствор высота"
"5182","бурение регулировщик работа акран специальный сигнальный жилет"
"5183","пропуск сальниковый уплотнение ек"
"5184","бг работать датчик температура работать обогреватель"
"5185","утечка масло работать агрегат"
"5186","бг работать обогреватель бг отопление"
"5187","замазученность пробоотборник нво"
"5188","демонтаж су заизолировать кабель кабель резиновый бронировать круглый"
"5189","бурение циркуляционный система гидроциклонный очистка буровой раствор рабочий ёмкость отсутствовать освещение"
"5190","бурение вжк больший насыпать снег глыба верх"
"5191","бурение розлив масло буровой насос"
"5192","вср оператор каскал находиться защитный очко"
"5193","отсутствовать подъезд скважина положение"
"5194","вср кабельный продукция уложить временной стойка касаться замли"
"5195","скважина мбсон производить проверка"
"5196","работник подрядный организация перешагивать электрический кабель находиться напряжение"
"5197","покоситься ограждение ку"
"5198","открывание калитка тврк слетать петля"
"5199","затруднить проезд роствергга скважина"
"5200","бурение снежный перемёт сторона амбар"
"5201","бурение табличка включать работать"
"5202","бурение разборка кнбк сотрудник подрядный организация находиться опасный зона"
"5203","электрик подрядный организация ремонтировать электрощиток перчатка"
"5204","подъезд мосток загромоздить труба"
"5205","безопасно"
"5206","вср пропуск пш запуск скважина"
"5207","электрощит вагонинструменталка отсутствовать замоксвбоднать доступ токоведущий часть"
"5208","дж страховка"
"5209","сигк муп вжкх отсутствовать стрелка манометр"
"5210","провисание кабель кабель резиновый бронировать круглый"
"5211","пропуск фланцевый соединение манифольд"
"5212","отсутствовать доступ пост пожарный сигнализация завалить снег"
"5213","установить заглушка свободный отвод"
"5214","бурение приёмный мост снег"
"5215","персонал октан выполнять текущий технологический процесс"
"5216","работник сторонний оранизация работа работа автокран сопровождать груз верёвка"
"5217","требоваться убраться кузов анр убрать тмц заготовка"
